state,x,y
Alabama,143,-90
Alaska,-198,-170
Arizona,-197,-40
Arkansas,65,-53
California,-297,13
Colorado,-112,20
Connecticut,297,96
Delaware,275,42
Florida,220,-145
Georgia,182,-75
Hawaii,-317,-143
Idaho,-208,114
Illinois,95,37
Indiana,133,39
Iowa,38,65
Kansas,-17,5
Kentucky,149,-10
Louisiana,59,-114
Maine,319,164
Maryland,288,27
Massachusetts,312,112
Michigan,148,101
Minnesota,23,135
Mississippi,94,-78
Missouri,58,6
Montana,-141,150
Nebraska,-61,66
Nevada,-257,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-124,-51
New York,236,104
North Carolina,239,-22
North Dakota,-44,158
Ohio,184,44
Oklahoma,-8,-41
Oregon,-278,135
Pennsylvania,238,72
Rhode Island,318,86
South Carolina,218,-51
South Dakota,-44,109
Tennessee,131,-34
Texas,-38,-106
Utah,-189,34
Vermont,282,154
Virginia,258,0
Washington,-260,180
West Virginia,212,20
Wisconsin,83,113
Wyoming,-126,90
